TRACKINGNUMBER,ORDERNUMBER,DATE,RECEIVER,COST,WEIGHT,RECEIVERORDERNUMBER
1Z9842480341423951,322303-3,,,,,
1Z9842480341423951,323266,,,,,
1Z9842480341423951,321606-5,,,,,
1Z9842480341423951,319450-3,,,,,
1Z9842480341423951,323267,,,,,
1Z9842480341423951,323267,,,,,
1Z9842480341423951,323267,,,,,
1Z9842480341423951,323267,,,,,
1Z9842480341423951,323267,,,,,
1Z9842480341423951,323267,,,,,
1Z9842480341423951,323267,,,,,
1Z9842486842640923,323514,,,,,
1Z9842480342756359,,,,,,
1Z9842486840137963,323676,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480340399990,323644,,,,,
1Z9842480341759714,323646,,,,,
1Z9842480341759714,323646,,,,,
1Z9842480341759714,323646,,,,,
1Z9842480341759714,323646,,,,,
1Z9842480341759714,323646,,,,,
1Z9842480341759714,323646,,,,,
1Z9842480342267977,323647,,,,,
1Z9842480342267977,323647,,,,,
1Z9842480342267977,323647,,,,,
1Z9842480342267977,323647,,,,,
1Z9842480342267977,323647,,,,,
1Z9842480342267977,323647,,,,,
1Z9842480342267977,321776-2,,,,,
1Z9842480342267977,323648,,,,,
1Z9842480342267977,322302-4,,,,,
1Z9842480342267977,322936-2,,,,,
1Z9842480342267977,323266-1,,,,,
1Z9842480342267977,320052-6,,,,,
1Z9842480342267977,319450-4,,,,,
1Z9842480342267977,319739-5,,,,,
1Z9842480342267977,322303-4,,,,,
1Z9842480342267977,323647-1,,,,,
1Z9842480342267977,322937-2,,,,,
1Z9842480342267977,322591-4,,,,,
1Z9842480342267977,321303-5,,,,,
1Z9842480342114140,323178,,,,,
1Z9842480342963152,324281,,,,,
1Z9842480340752768,324224,,,,,
1Z9842480342057784,324228,,,,,
1Z9842480342525198,324227,,,,,
1Z9842480340269817,324207,,,,,
1Z9842480342000834,324284,,,,,
1Z9842480342126253,323885,,,,,
1Z9842480340701867,319279-1,,,,,
1Z9842480341730306,316644-1,,,,,
1Z9842480340548917,324199,,,,,
1Z9842480342531930,324280,,,,,
1Z9842480341448345,322197-2,,,,,
1Z9842480341349354,324226,,,,,
1Z9842480341310966,322808,,,,,
1Z9842480341969176,324225,,,,,
1Z9842480340119989,324283,,,,,
1Z9842480341319396,324229,,,,,
1Z9842480342483402,324286,,,,,
1Z9842480340769223,324194,,,,,
1Z9842486842906495,324312,,,,,
